"","capture_time_in_zone","location_accuracy","species","date","number_of_sp_calling","water_body","habitat","lga_name","state","grid_id","grid_lat","grid_lng","record_sunrise","record_sunset","record_day_length","grid_sunrise","grid_sunset","grid_day_length","fraction","phase","present","year_day","day","year","mean_min_temp","Date","month","mean_max_temp","mean_vapour","mean_rainfall","rain_3_days","rain_10_days"
"1318","2018-01-29 06:10:35 +1000",5,"Cophixalus australis","2018-01-29",1,"Small pond","Rural","Hinchinbrook (S)","QLD",4539,-18.75,146.25,2018-01-29 07:00:33,2018-01-29 19:58:28,12.9652777777778,2018-01-29 07:00:05,2018-01-29 19:58:22,12.9713888888889,0.916050260633626,0.406430891216763,0,"2018_29",29,2018,11.4299998283386,2018-01-29,1,27.5025000572205,9.65000033378601,0,0,0
"1319","2017-12-16 21:48:45 +1000",10,"Cophixalus australis","2017-12-16",2,"Flooded area","Natural area","Cassowary Coast (R)","QLD",4541,-17.75,146.25,2017-12-16 06:36:37,2017-12-16 19:48:13,13.1933333333333,2017-12-16 06:36:16,2017-12-16 19:47:23,13.1852777777778,0.0463365706797394,0.930940328272477,0,"2017_350",350,2017,13.5199999809265,2017-12-16,12,30.3625001907349,11.6424999237061,0,0,2.20000003278255
"1320","2018-01-05 19:03:13 +1000",16,"Cophixalus australis","2018-01-05",1,"Stream or creek","Rural","Cassowary Coast (R)","QLD",4541,-17.75,146.25,2018-01-05 06:47:02,2018-01-05 19:56:42,13.1611111111111,2018-01-05 06:46:42,2018-01-05 19:55:49,13.1519444444444,0.887710688160601,0.608768745455731,0,"2018_5",5,2018,12.5800001621246,2018-01-05,1,28.0424995422363,9.22249984741211,0,0,0
"1321","2018-01-07 10:43:50 +1000",65,"Cophixalus australis","2018-01-07",1,"No visible water bodies","Backyard/Suburbia","Cassowary Coast (R)","QLD",4541,-17.75,146.25,2018-01-07 06:48:16,2018-01-07 19:57:14,13.1494444444444,2018-01-07 06:47:56,2018-01-07 19:56:19,13.1397222222222,0.710989850429822,0.680667673580828,0,"2018_7",7,2018,10.8849999904633,2018-01-07,1,30.1875,12.4325001239777,0,0,0
"1322","2017-12-11 19:24:48 +1000",65,"Cophixalus australis","2017-12-11",1,"Stream or creek","Rural","Cassowary Coast (R)","QLD",4541,-17.75,146.25,2017-12-11 06:35:10,2017-12-11 19:45:19,13.1691666666667,2017-12-11 06:34:29,2017-12-11 19:44:34,13.1680555555556,0.439386248081456,0.769341529439659,0,"2017_345",345,2017,18.272500038147,2017-12-11,12,36.5599994659424,18.0574998855591,1.15000000596046,1.15000000596046,5.92499998211861
"1323","2017-12-27 20:41:49 +1000",8,"Cophixalus australis","2017-12-27",1,"Stream or creek","None selected","Cassowary Coast (R)","QLD",4541,-17.75,146.25,2017-12-27 06:41:49,2017-12-27 19:53:36,13.1963888888889,2017-12-27 06:41:29,2017-12-27 19:52:42,13.1869444444444,0.583300174823354,0.276639485179085,0,"2017_361",361,2017,12.0374999046326,2017-12-27,12,26.3149995803833,11.6974999904633,0,0,24.3499999046326
"1324","2017-12-27 20:44:20 +1000",6,"Cophixalus australis","2017-12-27",1,"Stream or creek","None selected","Cassowary Coast (R)","QLD",4541,-17.75,146.25,2017-12-27 06:41:50,2017-12-27 19:53:36,13.1961111111111,2017-12-27 06:41:29,2017-12-27 19:52:42,13.1869444444444,0.583300174823354,0.276639485179085,0,"2017_361",361,2017,12.0374999046326,2017-12-27,12,26.3149995803833,11.6974999904633,0,0,24.3499999046326
"1325","2018-11-08 18:39:04 +1000",17.1979999542236,"Cophixalus australis","2018-11-08",1,"No visible water bodies","Natural area","Cassowary Coast (R)","QLD",4541,-17.75,146.25,2018-11-08 06:35:29,2018-11-08 19:26:29,12.85,2018-11-08 06:34:42,2018-11-08 19:25:21,12.8441666666667,0.00416273969008463,0.0205514053077722,0,"2018_312",312,2018,5.24499988555908,2018-11-08,11,26.6549997329712,10.9900000095367,0,0.475000008940697,2.40000001341105
"1326","2018-11-14 21:40:52 +1000",6,"Cophixalus australis","2018-11-14",2,"Small pond","Rural","Cassowary Coast (R)","QLD",4473,-17.75,145.75,2018-11-14 06:34:17,2018-11-14 19:29:20,12.9175,2018-11-14 06:35:01,2018-11-14 19:30:27,12.9238888888889,0.355436728833363,0.203317581620012,0,"2018_318",318,2018,17.2416667938232,2018-11-14,11,28.9016663233439,9.85000006357829,2.58333333333333,2.90000000844398,12.3166666676601
"1327","2018-12-07 05:00:58 +1000",9.16399955749512,"Cophixalus australis","2018-12-07",1,"No visible water bodies","Backyard/Suburbia","Cassowary Coast (R)","QLD",4541,-17.75,146.25,2018-12-07 06:33:41,2018-12-07 19:42:58,13.1547222222222,2018-12-07 06:33:18,2018-12-07 19:42:04,13.1461111111111,0.00163099640940512,0.98714136834228,0,"2018_341",341,2018,8.35000026226044,2018-12-07,12,25.1499996185303,12.099999666214,0.375000007450581,4.37500001490116,4.37500001490116
"1328","2018-12-09 19:54:12 +1000",4.5,"Cophixalus australis","2018-12-09",2,"Flooded area","Backyard/Suburbia","Cassowary Coast (R)","QLD",4474,-17.25,145.75,2018-12-09 06:35:29,2018-12-09 19:43:49,13.1388888888889,2018-12-09 06:36:46,2018-12-09 19:44:18,13.1255555555556,0.0320589980808007,0.0573024746349566,0,"2018_343",343,2018,20.9425001144409,2018-12-09,12,34.8725004196167,18.0250000953674,1.97499996423721,1.97499996423721,2.82499996572733
"1329","2017-12-26 09:24:54 +1000",16,"Cophixalus australis","2017-12-26",1,"No visible water bodies","Other","Cassowary Coast (R)","QLD",4541,-17.75,146.25,2017-12-26 06:41:49,2017-12-26 19:53:01,13.1866666666667,2017-12-26 06:40:57,2017-12-26 19:52:16,13.1886111111111,0.476032425604813,0.242367959427294,0,"2017_360",360,2017,12.6850001811981,2017-12-26,12,27.5525002479553,12.2400000095367,0,0,28.6249998807907
